TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
9286;0.72;0.17;-9.72;-0.56;1.28;-0.39 
9310;0.69;0.23;-9.69;-0.46;1.54;-0.61 
9333;0.75;0.20;-9.69;-0.56;1.42;-0.61 
9357;0.75;0.21;-9.70;-0.47;1.29;-0.56 
9379;0.73;0.23;-9.66;-0.52;1.29;-0.56 
9403;0.69;0.24;-9.71;-0.46;1.40;-0.34 
9426;0.69;0.26;-9.70;-0.50;1.32;-0.43 
9450;0.74;0.21;-9.73;-0.40;1.27;-0.59 
9480;0.72;0.25;-9.69;-0.61;1.20;-0.43 
9503;0.69;0.20;-9.68;-0.56;1.30;-0.37 
9526;0.73;0.23;-9.69;-0.45;1.23;-0.45 
9549;0.74;0.21;-9.71;-0.56;1.20;-0.59 
9573;0.73;0.24;-9.70;-0.69;1.46;-0.53 
9595;0.71;0.25;-9.68;-0.47;1.36;-0.58 
9619;0.75;0.22;-9.69;-0.49;1.28;-0.45 
9643;0.74;0.23;-9.67;-0.53;1.34;-0.41 
9665;0.75;0.20;-9.71;-0.63;1.47;-0.61 
9689;0.71;0.20;-9.73;-0.60;1.49;-0.39 
9712;0.74;0.23;-9.68;-0.65;1.34;-0.50 
9735;0.71;0.23;-9.69;-0.48;1.32;-0.51 
9758;0.69;0.22;-9.70;-0.46;1.32;-0.39 
9787;0.72;0.24;-9.69;-0.51;1.28;-0.57 
9810;0.69;0.23;-9.67;-0.61;1.39;-0.47 
9834;0.73;0.21;-9.70;-0.45;1.28;-0.40 
9857;0.72;0.21;-9.66;-0.65;1.20;-0.52 
9880;0.69;0.21;-9.68;-0.63;1.28;-0.49 
9904;0.70;0.20;-9.69;-0.52;1.17;-0.43 
9926;0.70;0.28;-9.69;-0.43;1.41;-0.48 
9950;0.69;0.21;-9.70;-0.66;1.40;-0.54 
9973;0.73;0.20;-9.68;-0.56;1.40;-0.47 
9996;0.75;0.19;-9.74;-0.60;1.23;-0.43 
10019;0.72;0.18;-9.72;-0.53;1.32;-0.56 
10043;0.73;0.22;-9.72;-0.49;1.36;-0.45 
10066;0.69;0.23;-9.71;-0.41;1.27;-0.40 
10095;0.72;0.20;-9.71;-0.50;1.40;-0.47 
10119;0.74;0.21;-9.70;-0.51;1.34;-0.49 
10141;0.72;0.22;-9.71;-0.57;1.37;-0.47 
10165;0.71;0.20;-9.70;-0.51;1.24;-0.43 
10188;0.69;0.23;-9.68;-0.50;1.37;-0.61 
10212;0.72;0.22;-9.65;-0.34;1.20;-0.46 
10235;0.75;0.26;-9.66;-0.61;1.35;-0.41 
10258;0.71;0.21;-9.71;-0.54;1.13;-0.43 
10281;0.71;0.21;-9.68;-0.50;1.30;-0.37 
10305;0.73;0.21;-9.72;-0.55;1.30;-0.53 
10329;0.74;0.19;-9.69;-0.49;1.36;-0.60 
10352;0.71;0.21;-9.70;-0.58;1.36;-0.50 
10381;0.72;0.22;-9.75;-0.56;1.37;-0.51 
10404;0.72;0.23;-9.70;-0.57;1.45;-0.59 
10428;0.75;0.24;-9.71;-0.57;1.32;-0.40 
10451;0.72;0.19;-9.72;-0.46;1.33;-0.50 
10475;0.69;0.24;-9.66;-0.70;1.30;-0.56 
10500;0.74;0.19;-9.69;-0.64;1.33;-0.58 
10523;0.66;0.23;-9.71;-0.66;1.13;-0.60 
10547;0.73;0.23;-9.68;-0.52;1.30;-0.43 
10570;0.70;0.26;-9.70;-0.53;1.34;-0.49 
10594;0.72;0.20;-9.72;-0.47;1.39;-0.57 
10617;0.74;0.20;-9.66;-0.59;1.40;-0.34 
10641;0.72;0.21;-9.70;-0.51;1.44;-0.47 
10665;0.75;0.22;-9.69;-0.60;1.38;-0.47 
10694;0.69;0.18;-9.69;-0.56;1.37;-0.48 
10718;0.70;0.23;-9.69;-0.60;1.32;-0.64 
10741;0.72;0.28;-9.70;-0.66;1.22;-0.51 
10765;0.67;0.27;-9.68;-0.63;1.44;-0.44 
10788;0.71;0.23;-9.71;-0.69;1.19;-0.28 
10812;0.69;0.22;-9.73;-0.57;1.29;-0.52 
10835;0.69;0.20;-9.72;-0.46;1.30;-0.45 
10859;0.76;0.24;-9.70;-0.58;1.26;-0.37 
